year,block,flow_type,rubric,value_pct_gdp,source,chart
2063,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.565545,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2064,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.526374,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2065,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.488018,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2066,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.450095,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2067,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.413675,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2068,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.378686,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2069,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.345239,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2070,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.313438,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2020,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2021,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2022,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2023,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2024,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2025,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2026,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2027,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2028,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2029,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2030,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2031,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2032,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2033,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2034,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2035,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2036,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2037,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2038,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2039,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2040,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2041,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2042,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2043,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2044,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2045,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2046,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2047,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2048,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2049,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2050,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2051,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2052,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2053,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2054,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2055,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2056,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2057,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2058,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2059,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2060,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2061,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2062,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2063,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2064,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
