year,block,flow_type,rubric,value_pct_gdp,source,chart
2067,"TOTAL","Saldo","",-2.645671,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2068,"TOTAL","Saldo","",-2.643074,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2069,"TOTAL","Saldo","",-2.653245,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2070,"TOTAL","Saldo","",-2.674401,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2020,"TOTAL","","Transferencias implÃ­citas",2.48253,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2021,"TOTAL","","Transferencias implÃ­citas",1.103904,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2022,"TOTAL","","Transferencias implÃ­citas",0.705126,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2023,"TOTAL","","Transferencias implÃ­citas",0.730215,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2024,"TOTAL","","Transferencias implÃ­citas",0.651519,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2025,"TOTAL","","Transferencias implÃ­citas",0.522128,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2026,"TOTAL","","Transferencias implÃ­citas",0.527024,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2027,"TOTAL","","Transferencias implÃ­citas",0.559673,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2028,"TOTAL","","Transferencias implÃ­citas",0.592056,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2029,"TOTAL","","Transferencias implÃ­citas",0.633258,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2030,"TOTAL","","Transferencias implÃ­citas",0.644695,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2031,"TOTAL","","Transferencias implÃ­citas",0.674155,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2032,"TOTAL","","Transferencias implÃ­citas",0.726984,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2033,"TOTAL","","Transferencias implÃ­citas",0.858665,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2034,"TOTAL","","Transferencias implÃ­citas",1.000306,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2035,"TOTAL","","Transferencias implÃ­citas",1.153465,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2036,"TOTAL","","Transferencias implÃ­citas",1.315224,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2037,"TOTAL","","Transferencias implÃ­citas",1.479487,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2038,"TOTAL","","Transferencias implÃ­citas",1.647457,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2039,"TOTAL","","Transferencias implÃ­citas",1.818408,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2040,"TOTAL","","Transferencias implÃ­citas",1.992586,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2041,"TOTAL","","Transferencias implÃ­citas",2.162687,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2042,"TOTAL","","Transferencias implÃ­citas",2.324851,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2043,"TOTAL","","Transferencias implÃ­citas",2.480201,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2044,"TOTAL","","Transferencias implÃ­citas",2.622703,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2045,"TOTAL","","Transferencias implÃ­citas",2.747597,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2046,"TOTAL","","Transferencias implÃ­citas",2.859926,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2047,"TOTAL","","Transferencias implÃ­citas",2.95094,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2048,"TOTAL","","Transferencias implÃ­citas",3.021419,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2049,"TOTAL","","Transferencias implÃ­citas",3.070219,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2050,"TOTAL","","Transferencias implÃ­citas",3.09869,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2051,"TOTAL","","Transferencias implÃ­citas",3.126834,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2052,"TOTAL","","Transferencias implÃ­citas",3.138552,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2053,"TOTAL","","Transferencias implÃ­citas",3.136621,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2054,"TOTAL","","Transferencias implÃ­citas",3.122819,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2055,"TOTAL","","Transferencias implÃ­citas",3.098992,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2056,"TOTAL","","Transferencias implÃ­citas",3.068814,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2057,"TOTAL","","Transferencias implÃ­citas",3.032111,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2058,"TOTAL","","Transferencias implÃ­citas",2.989498,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2059,"TOTAL","","Transferencias implÃ­citas",2.942852,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2060,"TOTAL","","Transferencias implÃ­citas",2.894525,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2061,"TOTAL","","Transferencias implÃ­citas",2.847615,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2062,"TOTAL","","Transferencias implÃ­citas",2.800873,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2063,"TOTAL","","Transferencias implÃ­citas",2.756944,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2064,"TOTAL","","Transferencias implÃ­citas",2.717658,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2065,"TOTAL","","Transferencias implÃ­citas",2.685037,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2066,"TOTAL","","Transferencias implÃ­citas",2.661164,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2067,"TOTAL","","Transferencias implÃ­citas",2.645671,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2068,"TOTAL","","Transferencias implÃ­citas",2.643074,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2069,"TOTAL","","Transferencias implÃ­citas",2.653245,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2070,"TOTAL","","Transferencias implÃ­citas",2.674401,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
