"anio","ambito_geografico","sexo","grupo_edad","edad_inicio","edad_fin","categoria_sanitaria","estado_dato","fuente_gasto","fuente_supervivencia","metodologia","gasto_per_capita_euros_2022","anos_persona_esperados","gasto_vital_esperado_tramo_euros_2022","porcentaje_sobre_gasto_vital_esperado"
"2022","Espana","Hombres","85 a 89","85","89","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","4360.02","1.69846","7405.32","4.6532"
"2022","Espana","Hombres","90 a 94","90","94","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","4663.71","0.7492","3494.05","2.1955"
"2022","Espana","Hombres","95 y más","95","100","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","4674.06","0.190635","891.04","0.5599"
"2022","Espana","Mujeres","0 a 4","0","4","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2789.95","4.987741","13915.53","7.3461"
"2022","Espana","Mujeres","5 a 9","5","9","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1250.76","4.985106","6235.15","3.2916"
"2022","Espana","Mujeres","10 a 14","10","14","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1132.91","4.983535","5645.92","2.9805"
"2022","Espana","Mujeres","15 a 19","15","19","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1373.33","4.981071","6840.68","3.6112"
"2022","Espana","Mujeres","20 a 24","20","24","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1541.18","4.977349","7671","4.0496"
"2022","Espana","Mujeres","25 a 29","25","29","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2051.86","4.973185","10204.26","5.3869"
"2022","Espana","Mujeres","30 a 34","30","34","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2131.72","4.968033","10590.47","5.5908"
"2022","Espana","Mujeres","35 a 39","35","39","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2093.51","4.960084","10383.98","5.4818"
"2022","Espana","Mujeres","40 a 44","40","44","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1909.91","4.947792","9449.82","4.9886"
"2022","Espana","Mujeres","45 a 49","45","49","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2020.12","4.927704","9954.57","5.2551"
"2022","Espana","Mujeres","50 a 54","50","54","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2055.92","4.893652","10060.96","5.3113"
"2022","Espana","Mujeres","55 a 59","55","59","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2275.38","4.83833","11009.03","5.8117"
"2022","Espana","Mujeres","60 a 64","60","64","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2355.77","4.752047","11194.75","5.9098"
"2022","Espana","Mujeres","65 a 69","65","69","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2670.26","4.62373","12346.58","6.5178"
"2022","Espana","Mujeres","70 a 74","70","74","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2847.97","4.437403","12637.6","6.6715"
"2022","Espana","Mujeres","75 a 79","75","79","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3034.43","4.135873","12550.03","6.6253"
"2022","Espana","Mujeres","80 a 84","80","84","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3283.35","3.608374","11847.57","6.2544"
"2022","Espana","Mujeres","85 a 89","85","89","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3518.93","2.704272","9516.13","5.0236"
"2022","Espana","Mujeres","90 a 94","90","94","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3770.44","1.48255","5589.87","2.9509"
"2022","Espana","Mujeres","95 y más","95","100","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3652.23","0.488277","1783.3","0.9414"
