"anio","ambito_geografico","sexo","esperanza_vida_nacimiento_anios","tipo_dato","fuente"
"2008","Total Nacional","Ambos sexos","81,3","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2008","Total Nacional","Hombres","78,22","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2008","Total Nacional","Mujeres","84,33","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2009","Total Nacional","Ambos sexos","81,66","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2009","Total Nacional","Hombres","78,62","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2009","Total Nacional","Mujeres","84,65","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2010","Total Nacional","Ambos sexos","82,07","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2010","Total Nacional","Hombres","79,05","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2010","Total Nacional","Mujeres","85,03","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2011","Total Nacional","Ambos sexos","82,25","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2011","Total Nacional","Hombres","79,3","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2011","Total Nacional","Mujeres","85,13","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2012","Total Nacional","Ambos sexos","82,26","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2012","Total Nacional","Hombres","79,36","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2012","Total Nacional","Mujeres","85,1","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2013","Total Nacional","Ambos sexos","82,77","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2013","Total Nacional","Hombres","79,92","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2013","Total Nacional","Mujeres","85,53","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2014","Total Nacional","Ambos sexos","82,91","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2014","Total Nacional","Hombres","80,1","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2014","Total Nacional","Mujeres","85,63","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2015","Total Nacional","Ambos sexos","82,67","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2015","Total Nacional","Hombres","79,89","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2015","Total Nacional","Mujeres","85,39","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2016","Total Nacional","Ambos sexos","83,08","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
