"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","nacionalidad","orden_nacimiento","edad_media_maternidad_anios"
"2014","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","31.78"
"2014","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","30.55"
"2015","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","31.9"
"2015","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","30.69"
"2016","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","32.0"
"2016","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","30.79"
"2017","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","32.08"
"2017","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","30.89"
"2018","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","32.19"
"2018","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","31.01"
"2019","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","32.23"
"2019","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","31.08"
"2020","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","32.31"
"2020","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","31.19"
"2021","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","32.59"
"2021","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","31.54"
"2022","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","32.61"
"2022","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","31.57"
"2023","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","32.59"
"2023","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","31.5"
"2024","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","32.61"
"2024","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","31.52"
