"ano","variable","escenario","valor_pct_pib","unidad","estado_dato","fuente","detalle_fuente"
"2057","gasto_pensiones_publicas_bruto","baseline","17.069","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2058","gasto_pensiones_publicas_bruto","baseline","16.9986","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2059","gasto_pensiones_publicas_bruto","baseline","16.928","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2060","gasto_pensiones_publicas_bruto","baseline","16.8584","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2061","gasto_pensiones_publicas_bruto","baseline","16.7936","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2062","gasto_pensiones_publicas_bruto","baseline","16.7353","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2063","gasto_pensiones_publicas_bruto","baseline","16.6861","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2064","gasto_pensiones_publicas_bruto","baseline","16.6477","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2065","gasto_pensiones_publicas_bruto","baseline","16.6206","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2066","gasto_pensiones_publicas_bruto","baseline","16.6057","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2067","gasto_pensiones_publicas_bruto","baseline","16.605","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2068","gasto_pensiones_publicas_bruto","baseline","16.6201","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2069","gasto_pensiones_publicas_bruto","baseline","16.652","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
