Sexo;Distintos grupos de edad;Tipo de tasa;Periodo;Total
ambos sexos;menores de 25 años;tasas de empleo;2000TIV;35,60
ambos sexos;menores de 25 años;tasas de empleo;2000TIII;36,78
ambos sexos;menores de 25 años;tasas de empleo;2000TII;34,76
ambos sexos;menores de 25 años;tasas de empleo;2000TI;33,30
ambos sexos;menores de 25 años;tasas de empleo;1999TIV;33,44
ambos sexos;menores de 25 años;tasas de empleo;1999TIII;34,06
ambos sexos;menores de 25 años;tasas de empleo;1999TII;31,94
ambos sexos;menores de 25 años;tasas de empleo;1999TI;30,92
ambos sexos;menores de 25 años;tasas de empleo;1998TIV;29,99
ambos sexos;menores de 25 años;tasas de empleo;1998TIII;30,29
ambos sexos;menores de 25 años;tasas de empleo;1998TII;28,48
ambos sexos;menores de 25 años;tasas de empleo;1998TI;27,68
ambos sexos;menores de 25 años;tasas de empleo;1997TIV;27,75
ambos sexos;menores de 25 años;tasas de empleo;1997TIII;27,88
ambos sexos;menores de 25 años;tasas de empleo;1997TII;26,61
ambos sexos;menores de 25 años;tasas de empleo;1997TI;26,24
ambos sexos;menores de 25 años;tasas de empleo;1996TIV;26,27
ambos sexos;menores de 25 años;tasas de empleo;1996TIII;26,77
ambos sexos;menores de 25 años;tasas de empleo;1996TII;25,51
ambos sexos;menores de 25 años;tasas de empleo;1996TI;25,36
ambos sexos;de 25 y más años;tasas de actividad;2004TIV;57,96
ambos sexos;de 25 y más años;tasas de actividad;2004TIII;57,46
ambos sexos;de 25 y más años;tasas de actividad;2004TII;57,41
ambos sexos;de 25 y más años;tasas de actividad;2004TI;57,14
ambos sexos;de 25 y más años;tasas de actividad;2003TIV;57,13
ambos sexos;de 25 y más años;tasas de actividad;2003TIII;56,70
ambos sexos;de 25 y más años;tasas de actividad;2003TII;56,51
ambos sexos;de 25 y más años;tasas de actividad;2003TI;56,23
ambos sexos;de 25 y más años;tasas de actividad;2002TIV;55,83
ambos sexos;de 25 y más años;tasas de actividad;2002TIII;55,56
ambos sexos;de 25 y más años;tasas de actividad;2002TII;55,36
ambos sexos;de 25 y más años;tasas de actividad;2002TI;54,94
ambos sexos;de 25 y más años;tasas de actividad;2001TIV;54,52
ambos sexos;de 25 y más años;tasas de actividad;2001TIII;54,11
ambos sexos;de 25 y más años;tasas de actividad;2001TII;53,99
ambos sexos;de 25 y más años;tasas de actividad;2001TI;53,93
ambos sexos;de 25 y más años;tasas de actividad;2000TIV;55,13
ambos sexos;de 25 y más años;tasas de actividad;2000TIII;54,79
ambos sexos;de 25 y más años;tasas de actividad;2000TII;54,71
ambos sexos;de 25 y más años;tasas de actividad;2000TI;54,46
ambos sexos;de 25 y más años;tasas de actividad;1999TIV;54,17
ambos sexos;de 25 y más años;tasas de actividad;1999TIII;53,73
ambos sexos;de 25 y más años;tasas de actividad;1999TII;53,59
ambos sexos;de 25 y más años;tasas de actividad;1999TI;53,43
ambos sexos;de 25 y más años;tasas de actividad;1998TIV;53,59
ambos sexos;de 25 y más años;tasas de actividad;1998TIII;53,50
ambos sexos;de 25 y más años;tasas de actividad;1998TII;53,32
ambos sexos;de 25 y más años;tasas de actividad;1998TI;53,24
ambos sexos;de 25 y más años;tasas de actividad;1997TIV;53,33
ambos sexos;de 25 y más años;tasas de actividad;1997TIII;53,13
ambos sexos;de 25 y más años;tasas de actividad;1997TII;53,10
ambos sexos;de 25 y más años;tasas de actividad;1997TI;52,91
ambos sexos;de 25 y más años;tasas de actividad;1996TIV;52,93
ambos sexos;de 25 y más años;tasas de actividad;1996TIII;52,76
ambos sexos;de 25 y más años;tasas de actividad;1996TII;52,66
ambos sexos;de 25 y más años;tasas de actividad;1996TI;52,45
ambos sexos;de 25 y más años;tasas de paro;2004TIV;9,14
ambos sexos;de 25 y más años;tasas de paro;2004TIII;9,22
ambos sexos;de 25 y más años;tasas de paro;2004TII;9,56
ambos sexos;de 25 y más años;tasas de paro;2004TI;9,97
ambos sexos;de 25 y más años;tasas de paro;2003TIV;9,77
ambos sexos;de 25 y más años;tasas de paro;2003TIII;9,70
ambos sexos;de 25 y más años;tasas de paro;2003TII;9,72
ambos sexos;de 25 y más años;tasas de paro;2003TI;10,34
ambos sexos;de 25 y más años;tasas de paro;2002TIV;9,93
ambos sexos;de 25 y más años;tasas de paro;2002TIII;9,90
ambos sexos;de 25 y más años;tasas de paro;2002TII;9,65
ambos sexos;de 25 y más años;tasas de paro;2002TI;9,98
ambos sexos;de 25 y más años;tasas de paro;2001TIV;8,98
ambos sexos;de 25 y más años;tasas de paro;2001TIII;8,61
ambos sexos;de 25 y más años;tasas de paro;2001TII;8,75
ambos sexos;de 25 y más años;tasas de paro;2001TI;9,29
ambos sexos;de 25 y más años;tasas de paro;2000TIV;11,45
ambos sexos;de 25 y más años;tasas de paro;2000TIII;11,56
ambos sexos;de 25 y más años;tasas de paro;2000TII;11,90
ambos sexos;de 25 y más años;tasas de paro;2000TI;12,68
ambos sexos;de 25 y más años;tasas de paro;1999TIV;12,97
ambos sexos;de 25 y más años;tasas de paro;1999TIII;12,94
ambos sexos;de 25 y más años;tasas de paro;1999TII;13,13
ambos sexos;de 25 y más años;tasas de paro;1999TI;14,24
ambos sexos;de 25 y más años;tasas de paro;1998TIV;15,25
ambos sexos;de 25 y más años;tasas de paro;1998TIII;15,47
ambos sexos;de 25 y más años;tasas de paro;1998TII;15,82
ambos sexos;de 25 y más años;tasas de paro;1998TI;16,37
ambos sexos;de 25 y más años;tasas de paro;1997TIV;16,97
ambos sexos;de 25 y más años;tasas de paro;1997TIII;17,08
ambos sexos;de 25 y más años;tasas de paro;1997TII;17,47
ambos sexos;de 25 y más años;tasas de paro;1997TI;17,85
ambos sexos;de 25 y más años;tasas de paro;1996TIV;17,99
ambos sexos;de 25 y más años;tasas de paro;1996TIII;17,99
ambos sexos;de 25 y más años;tasas de paro;1996TII;18,55
ambos sexos;de 25 y más años;tasas de paro;1996TI;18,99
ambos sexos;de 25 y más años;tasas de empleo;2004TIV;52,66
ambos sexos;de 25 y más años;tasas de empleo;2004TIII;52,16
ambos sexos;de 25 y más años;tasas de empleo;2004TII;51,92
ambos sexos;de 25 y más años;tasas de empleo;2004TI;51,44
ambos sexos;de 25 y más años;tasas de empleo;2003TIV;51,55
ambos sexos;de 25 y más años;tasas de empleo;2003TIII;51,20
ambos sexos;de 25 y más años;tasas de empleo;2003TII;51,01
ambos sexos;de 25 y más años;tasas de empleo;2003TI;50,41
ambos sexos;de 25 y más años;tasas de empleo;2002TIV;50,29
ambos sexos;de 25 y más años;tasas de empleo;2002TIII;50,06
ambos sexos;de 25 y más años;tasas de empleo;2002TII;50,02
ambos sexos;de 25 y más años;tasas de empleo;2002TI;49,46
ambos sexos;de 25 y más años;tasas de empleo;2001TIV;49,63
ambos sexos;de 25 y más años;tasas de empleo;2001TIII;49,45
ambos sexos;de 25 y más años;tasas de empleo;2001TII;49,27
ambos sexos;de 25 y más años;tasas de empleo;2001TI;48,92
ambos sexos;de 25 y más años;tasas de empleo;2000TIV;48,82
ambos sexos;de 25 y más años;tasas de empleo;2000TIII;48,46
ambos sexos;de 25 y más años;tasas de empleo;2000TII;48,20
ambos sexos;de 25 y más años;tasas de empleo;2000TI;47,55
ambos sexos;de 25 y más años;tasas de empleo;1999TIV;47,14
ambos sexos;de 25 y más años;tasas de empleo;1999TIII;46,78
ambos sexos;de 25 y más años;tasas de empleo;1999TII;46,55
ambos sexos;de 25 y más años;tasas de empleo;1999TI;45,82
ambos sexos;de 25 y más años;tasas de empleo;1998TIV;45,42
ambos sexos;de 25 y más años;tasas de empleo;1998TIII;45,23
ambos sexos;de 25 y más años;tasas de empleo;1998TII;44,88
ambos sexos;de 25 y más años;tasas de empleo;1998TI;44,52
ambos sexos;de 25 y más años;tasas de empleo;1997TIV;44,28
ambos sexos;de 25 y más años;tasas de empleo;1997TIII;44,05
ambos sexos;de 25 y más años;tasas de empleo;1997TII;43,82
ambos sexos;de 25 y más años;tasas de empleo;1997TI;43,47
ambos sexos;de 25 y más años;tasas de empleo;1996TIV;43,41
ambos sexos;de 25 y más años;tasas de empleo;1996TIII;43,27
ambos sexos;de 25 y más años;tasas de empleo;1996TII;42,89
ambos sexos;de 25 y más años;tasas de empleo;1996TI;42,49
ambos sexos;de 16 a 19 años;tasas de actividad;2004TIV;25,28
ambos sexos;de 16 a 19 años;tasas de actividad;2004TIII;27,95
ambos sexos;de 16 a 19 años;tasas de actividad;2004TII;24,61
ambos sexos;de 16 a 19 años;tasas de actividad;2004TI;24,01
ambos sexos;de 16 a 19 años;tasas de actividad;2003TIV;24,94
ambos sexos;de 16 a 19 años;tasas de actividad;2003TIII;26,95
ambos sexos;de 16 a 19 años;tasas de actividad;2003TII;25,30
ambos sexos;de 16 a 19 años;tasas de actividad;2003TI;24,08
ambos sexos;de 16 a 19 años;tasas de actividad;2002TIV;25,06
ambos sexos;de 16 a 19 años;tasas de actividad;2002TIII;27,19
ambos sexos;de 16 a 19 años;tasas de actividad;2002TII;24,60
ambos sexos;de 16 a 19 años;tasas de actividad;2002TI;25,19
